"Chinese","Pinyin","English","Part of Speech","HSK Level"
"特别","tèbié","special; very","adv.","HSK 3"
"提高","tígāo","to raise; to improve","v.","HSK 3"
"体育","tǐyù","sports; physical ed.","n.","HSK 3"
"体育馆","tǐyùguǎn","gym; stadium","n.","HSK 3"
"甜","tián","sweet","adj.","HSK 3"
"跳","tiào","to jump; to hop","v.","HSK 3"
"听说","tīngshuō","to hear; it is said","v.","HSK 3"
"挺","tǐng","quite; very","adv.","HSK 3"
"同事","tóngshì","colleague; co-worker","n.","HSK 3"
"同意","tóngyì","to agree; to consent","v.","HSK 3"
"头发","tóufa","hair","n.","HSK 3"
"突然","tūrán","sudden; unexpected","adj.","HSK 3"
"图书馆","túshūguǎn","library","n.","HSK 3"
"腿","tuǐ","leg","n.","HSK 3"
"外地","wàidì","another place; out of town","n.","HSK 3"
"外卖","wàimài","takeout; food delivery","n.","HSK 3"
"外语","wàiyǔ","foreign language","n.","HSK 3"
"完成","wánchéng","to complete; to accomplish","v.","HSK 3"
"碗","wǎn","bowl","n.","HSK 3"
"晚点","wǎndiǎn","late; delayed","v.","HSK 3"
"晚会","wǎnhuì","evening party","n.","HSK 3"
"网球","wǎngqiú","tennis","n.","HSK 3"
"网站","wǎngzhàn","website","n.","HSK 3"
"忘记","wàngjì","to forget","v.","HSK 3"
"为","wèi","because of; for","prep.","HSK 3"
"为了","wèile","for; in order to","prep.","HSK 3"
"卫生间","wèishēngjiān","bathroom; toilet","n.","HSK 3"
"文化","wénhuà","culture; civilization","n.","HSK 3"
"屋子","wūzi","house; room","n.","HSK 3"
"西","xī","west","n.","HSK 3"
"西北","xīběi","Northwest China","n.","HSK 3"
"西方","xīfāng","the West; Western","n.","HSK 3"
"西瓜","xīguā","watermelon","n.","HSK 3"
"西南","xīnán","southwest","n.","HSK 3"
"习惯","xíguàn","habit; to be used to","n.","HSK 3"
"喜爱","xǐ'ài","to like; to love","v.","HSK 3"
"洗衣机","xǐyījī","washing machine","n.","HSK 3"
"洗澡","xǐzǎo","to bathe; to shower","v.","HSK 3"
"夏天","xiàtiān","summer","n.","HSK 3"
"先","xiān","first; prior","adv.","HSK 3"
"香蕉","xiāngjiāo","banana","n.","HSK 3"
"相信","xiāngxìn","to believe","v.","HSK 3"
"箱子","xiāngzi","suitcase; box","n.","HSK 3"
"向","xiàng","toward; to","prep.","HSK 3"
"像","xiàng","to resemble; to be like","v.","HSK 3"
"相机","xiàngjī","camera","n.","HSK 3"
"小区","xiǎoqū","residential community","n.","HSK 3"
"小心","xiǎoxīn","to be careful","v.","HSK 3"
"校园","xiàoyuán","campus","n.","HSK 3"
"校长","xiàozhǎng","president; headmaster","n.","HSK 3"
"鞋","xié","shoe","n.","HSK 3"
"心里","xīnlǐ","in one's heart; mind","n.","HSK 3"
"新年","xīnnián","New Year","n.","HSK 3"
"新闻","xīnwén","news","n.","HSK 3"
"新鲜","xīnxiān","fresh; novel","adj.","HSK 3"
"信","xìn","letter; to trust","n.","HSK 3"
"信用卡","xìnyòngkǎ","credit card","n.","HSK 3"
"行","xíng","to walk; okay","v.","HSK 3"
"行李","xíngli","luggage","n.","HSK 3"
"兴趣","xìngqù","interest; hobby","n.","HSK 3"
"休假","xiūjià","to take a vacation","v.","HSK 3"
"需要","xūyào","to need; to want","v.","HSK 3"
"选","xuǎn","to choose; to pick","v.","HSK 3"
"选择","xuǎnzé","to select; choice","v.","HSK 3"
"学期","xuéqī","term; semester","n.","HSK 3"
"牙","yá","tooth","n.","HSK 3"
"牙刷","yáshuā","toothbrush","n.","HSK 3"
"羊","yáng","sheep; goat","n.","HSK 3"
"养","yǎng","to raise; to keep","v.","HSK 3"
"要求","yāoqiú","to request; requirement","v.","HSK 3"
"页","yè","page","m.w.","HSK 3"
"一定","yídìng","surely; certainly","adv.","HSK 3"
"一共","yígòng","altogether","adv.","HSK 3"
"一块儿","yíkuàir","together","adv.","HSK 3"
"一样","yíyàng","same; like","adj.","HSK 3"
"以后","yǐhòu","after; later","n.","HSK 3"
"以前","yǐqián","before; formerly","n.","HSK 3"
"以上","yǐshàng","above; more than","n.","HSK 3"
"以外","yǐwài","outside; besides","n.","HSK 3"
"以为","yǐwéi","to think mistakenly","v.","HSK 3"
"以下","yǐxià","below; less than","n.","HSK 3"
"一般","yìbān","ordinary; generally","adj.","HSK 3"
"一边","yìbiān","at the same time","adv.","HSK 3"
"一直","yìzhí","continuously; always","adv.","HSK 3"
"音乐","yīnyuè","music","n.","HSK 3"
"银行","yínháng","bank","n.","HSK 3"
"银行卡","yínhángkǎ","bank card","n.","HSK 3"
"饮料","yǐnliào","drink; beverage","n.","HSK 3"
"应该","yīnggāi","ought to; should","v.","HSK 3"
"影响","yǐngxiǎng","influence; to influence","v.","HSK 3"
"用","yòng","to use; to employ","v.","HSK 3"
"邮件","yóujiàn","mail; email","n.","HSK 3"
"游客","yóukè","traveler; tourist","n.","HSK 3"
"游戏","yóuxì","game; to play","n.","HSK 3"
"邮箱","yóuxiāng","mailbox; email","n.","HSK 3"
"有关","yǒuguān","to relate to; related","v.","HSK 3"
"有名","yǒumíng","famous; well-known","adj.","HSK 3"
"有用","yǒuyòng","useful","adj.","HSK 3"
"又","yòu","again; also","adv.","HSK 3"
"羽毛球","yǔmáoqiú","badminton","n.","HSK 3"
"语言","yǔyán","language","n.","HSK 3"
"雨衣","yǔyī","raincoat","n.","HSK 3"
"遇到","yùdào","to meet; to run into","v.","HSK 3"
"遇见","yùjiàn","to meet","v.","HSK 3"
"园","yuán","garden; park","n.","HSK 3"
"员","yuán","person; member","n.","HSK 3"
"愿意","yuànyì","to wish; to want","v.","HSK 3"
"越","yuè","to exceed; more and more","adv.","HSK 3"
"月亮","yuèliang","the moon","n.","HSK 3"
"运动会","yùndònghuì","sports competition","n.","HSK 3"
"运动员","yùndòngyuán","athlete","n.","HSK 3"
"咱们","zánmen","we; us","pron.","HSK 3"
"脏","zāng","dirty; filthy","adj.","HSK 3"
"怎么办","zěnmebàn","what to do","pron.","HSK 3"
"怎样","zěnyàng","how; what kind","pron.","HSK 3"
"站","zhàn","to stand","v.","HSK 3"
"张","zhāng","m.w. for flat things","m.w.","HSK 3"
"长","zhǎng","chief; to grow","v.","HSK 3"
"着急","zháojí","worried; anxious","adj.","HSK 3"
"照","zhào","to take a photo","v.","HSK 3"
"照顾","zhàogù","to take care of","v.","HSK 3"
"照片","zhàopiàn","photograph; picture","n.","HSK 3"
"照相","zhàoxiàng","to take a photograph","v.","HSK 3"
"直到","zhídào","until","v.","HSK 3"
"只","zhǐ","only; just","adv.","HSK 3"
"纸","zhǐ","paper","n.","HSK 3"
"只能","zhǐnéng","can only","adv.","HSK 3"
"只是","zhǐshì","merely; only","adv.","HSK 3"
"只要","zhǐyào","if only; so long as","conj.","HSK 3"
"只有","zhǐyǒu","only; only if","conj.","HSK 3"
"中","zhōng","within; among","n.","HSK 3"
"中间","zhōngjiān","middle; between","n.","HSK 3"
"终于","zhōngyú","at last; finally","adv.","HSK 3"
"种","zhǒng","m.w. for types","m.w.","HSK 3"
"重要","zhòngyào","important; significant","adj.","HSK 3"
"周末","zhōumò","weekend","n.","HSK 3"
"主要","zhǔyào","main; principal","adj.","HSK 3"
"注意","zhùyì","to pay attention to","v.","HSK 3"
"住院","zhùyuàn","to be hospitalized","v.","HSK 3"
"字典","zìdiǎn","dictionary","n.","HSK 3"
"自行车","zìxíngchē","bicycle; bike","n.","HSK 3"
"子","zi","suffix","n.","HSK 3"
"总","zǒng","general; always","adv.","HSK 3"
"总是","zǒngshì","always","adv.","HSK 3"
"嘴","zuǐ","mouth","n.","HSK 3"
"最好","zuìhǎo","best; had better","adv.","HSK 3"
"最后","zuìhòu","final; last; finally","n.","HSK 3"
"最近","zuìjìn","recently; soon","n.","HSK 3"
"做客","zuòkè","to be a guest","v.","HSK 3"
"作业","zuòyè","homework; assignment","n.","HSK 3"
